ticker,currency,exchange,sector,industry
AMZN,USD,Nasdaq Global Select,Consumer Cyclical,Internet Retail
ANET,USD,New York Stock Exchange,Technology,Computer Hardware
ANSS,USD,Nasdaq Global Select,Technology,Software‚ Application
ANTM,USD,New York Stock Exchange,Healthcare,Healthcare Plans
AON,USD,New York Stock Exchange,Financial Services,Insurance Brokers
AOS,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
APA,USD,New York Stock Exchange,Basic Materials,Oil & Gas E&P
APD,USD,New York Stock Exchange,Basic Materials,Chemicals
APH,USD,New York Stock Exchange,Technology,Electronic Components
APTV,USD,New York Stock Exchange,Consumer Cyclical,Auto Parts
ARE,USD,New York Stock Exchange,Real Estate,REIT‚ Office
ATO,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Gas
ATVI,USD,Nasdaq Global Select,Communication Services,Electronic Gaming & Multimedia
AVB,USD,New York Stock Exchange,Real Estate,REIT‚ Residential
AVGO,USD,Nasdaq Global Select,Technology,Semiconductors
AVY,USD,New York Stock Exchange,Industrials,Business Equipment & Supplies
AWK,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Water
AXP,USD,New York Stock Exchange,Financial Services,Credit Services
AZO,USD,New York Stock Exchange,Consumer Cyclical,Specialty Retail
BA,USD,New York Stock Exchange,Industrials,Aerospace & Defense
BAC,USD,New York Stock Exchange,Financial Services,Banks‚ Diversified
BAX,USD,New York Stock Exchange,Healthcare,Medical Instruments & Supplies
BBY,USD,New York Stock Exchange,Consumer Cyclical,Specialty Retail
BDX,USD,New York Stock Exchange,Healthcare,Medical Instruments & Supplies
BEN,USD,New York Stock Exchange,Financial Services,Asset Management
BIIB,USD,Nasdaq Global Select,Healthcare,Drug Manufacturers‚ General
BIO,USD,New York Stock Exchange,Healthcare,Medical Devices
BK,USD,New York Stock Exchange,Financial Services,Asset Management
BKNG,USD,Nasdaq Global Select,Consumer Cyclical,Travel Services
BKR,USD,New York Stock Exchange,Energy,Oil & Gas Equipment & Services
BLK,USD,New York Stock Exchange,Financial Services,Asset Management
BLL,USD,New York Stock Exchange,Consumer Cyclical,Packaging & Containers
BMY,USD,New York Stock Exchange,Healthcare,Drug Manufacturers‚ General
BR,USD,New York Stock Exchange,Technology,Information Technology Services
BRK.B,USD,New York Stock Exchange,Financial Services,Insurance‚ Diversified
BSX,USD,New York Stock Exchange,Healthcare,Medical Devices
BWA,USD,New York Stock Exchange,Consumer Cyclical,Auto Parts
BXP,USD,New York Stock Exchange,Real Estate,REIT‚ Office
C,USD,New York Stock Exchange,Financial Services,Banks‚ Diversified
CAG,USD,New York Stock Exchange,Consumer Defensive,Packaged Foods
CAH,USD,New York Stock Exchange,Healthcare,Medical Distribution
CARR,USD,New York Stock Exchange,Industrials,Building Products & Equipment
CAT,USD,New York Stock Exchange,Industrials,Farm & Heavy Construction Machinery
CB,USD,New York Stock Exchange,Financial Services,Insurance‚ Property & Casualty
CBRE,USD,New York Stock Exchange,Real Estate,Real Estate Services
CCI,USD,New York Stock Exchange,Real Estate,REIT‚ Specialty
CCL,USD,New York Stock Exchange,Consumer Cyclical,Travel Services
CDNS,USD,Nasdaq Global Select,Technology,Software‚ Application
CDW,USD,Nasdaq Global Select,Technology,Information Technology Services
CE,USD,New York Stock Exchange,Basic Materials,Chemicals
CERN,USD,Nasdaq Global Select,Healthcare,Health Information Services
CF,USD,New York Stock Exchange,Basic Materials,Agricultural Inputs
CFG,USD,New York Stock Exchange,Financial Services,Banks‚ Regional
CHD,USD,New York Stock Exchange,Consumer Defensive,Household & Personal Products
CHRW,USD,Nasdaq Global Select,Industrials,Integrated Freight & Logistics
CHTR,USD,Nasdaq Global Select,Communication Services,Entertainment
CI,USD,New York Stock Exchange,Healthcare,Healthcare Plans
CINF,USD,Nasdaq Global Select,Financial Services,Insurance‚ Property & Casualty
CL,USD,New York Stock Exchange,Consumer Defensive,Household & Personal Products
CLX,USD,New York Stock Exchange,Consumer Defensive,Household & Personal Products
CMA,USD,New York Stock Exchange,Financial Services,Banks‚ Regional
CMCSA,USD,Nasdaq Global Select,Communication Services,Entertainment
CME,USD,Nasdaq Global Select,Financial Services,Financial Data & Stock Exchanges
CMG,USD,New York Stock Exchange,Consumer Cyclical,Restaurants
CMI,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
CMS,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
CNC,USD,New York Stock Exchange,Healthcare,Healthcare Plans
CNP,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
COF,USD,New York Stock Exchange,Financial Services,Credit Services
COG,USD,New York Stock Exchange,Energy,Oil & Gas E&P
COO,USD,New York Stock Exchange,Healthcare,Medical Instruments & Supplies
COP,USD,New York Stock Exchange,Energy,Oil & Gas E&P
COST,USD,Nasdaq Global Select,Consumer Defensive,Discount Stores
CPB,USD,New York Stock Exchange,Consumer Defensive,Packaged Foods
CPRT,USD,Nasdaq Global Select,Industrials,Specialty Business Services
CRL,USD,New York Stock Exchange,Healthcare,Diagnostics & Research
CRM,USD,New York Stock Exchange,Technology,Software‚ Application
CSCO,USD,Nasdaq Global Select,Technology,Communication Equipment
CSX,USD,Nasdaq Global Select,Industrials,Railroads
CTAS,USD,Nasdaq Global Select,Industrials,Specialty Business Services
CTLT,USD,New York Stock Exchange,Healthcare,Drug Manufacturers‚ Specialty & Generic
CTSH,USD,Nasdaq Global Select,Technology,Information Technology Services
CTVA,USD,New York Stock Exchange,Basic Materials,Agricultural Inputs
CTXS,USD,Nasdaq Global Select,Technology,Software‚ Application
CVS,USD,New York Stock Exchange,Healthcare,Healthcare Plans
CVX,USD,New York Stock Exchange,Energy,Oil & Gas Integrated
CZR,USD,Nasdaq Global Select,Consumer Cyclical,Resorts & Casinos
D,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
DAL,USD,New York Stock Exchange,Industrials,Airlines
DD,USD,New York Stock Exchange,Basic Materials,Specialty Chemicals
DE,USD,New York Stock Exchange,Industrials,Farm & Heavy Construction Machinery
DFS,USD,New York Stock Exchange,Financial Services,Credit Services
DG,USD,New York Stock Exchange,Consumer Defensive,Discount Stores
DGX,USD,New York Stock Exchange,Healthcare,Diagnostics & Research
DHI,USD,New York Stock Exchange,Consumer Cyclical,Residential Construction
DHR,USD,New York Stock Exchange,Healthcare,Diagnostics & Research
DIS,USD,New York Stock Exchange,Consumer Cyclical,Entertainment
DISCA,USD,Nasdaq Global Select,Communication Services,Entertainment
DISCK,USD,Nasdaq Global Select,Communication Services,Entertainment
DISH,USD,Nasdaq Global Select,Communication Services,Entertainment
DLR,USD,New York Stock Exchange,Real Estate,REIT‚ Office
DLTR,USD,Nasdaq Global Select,Consumer Defensive,Discount Stores
DOV,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
DOW,USD,New York Stock Exchange,Basic Materials,Chemicals
DPZ,USD,New York Stock Exchange,Consumer Cyclical,Restaurants
DRE,USD,New York Stock Exchange,Real Estate,REIT‚ Industrial
DRI,USD,New York Stock Exchange,Consumer Cyclical,Restaurants
DTE,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
DUK,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
DVA,USD,New York Stock Exchange,Healthcare,Medical Care Facilities
DVN,USD,New York Stock Exchange,Energy,Oil & Gas E&P
DXC,USD,New York Stock Exchange,Technology,Information Technology Services
DXCM,USD,Nasdaq Global Select,Healthcare,Diagnostics & Research
EA,USD,Nasdaq Global Select,Communication Services,Electronic Gaming & Multimedia
EBAY,USD,Nasdaq Global Select,Consumer Cyclical,Internet Retail
ECL,USD,New York Stock Exchange,Basic Materials,Specialty Chemicals
ED,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
EFX,USD,New York Stock Exchange,Industrials,Consulting Services
EIX,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
EL,USD,New York Stock Exchange,Consumer Defensive,Household & Personal Products
EMN,USD,New York Stock Exchange,Basic Materials,Chemicals
EMR,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
ENPH,USD,Nasdaq Global Market,Technology,Solar
EOG,USD,New York Stock Exchange,Energy,Oil & Gas E&P
EQIX,USD,Nasdaq Global Select,Real Estate,REIT‚ Specialty
EQR,USD,New York Stock Exchange,Real Estate,REIT‚ Residential
ES,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
ESS,USD,New York Stock Exchange,Real Estate,REIT‚ Residential
ETN,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
ETR,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
ETSY,USD,Nasdaq Global Select,Consumer Cyclical,Internet Retail
EVRG,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
EW,USD,New York Stock Exchange,Healthcare,Medical Devices
EXC,USD,Nasdaq Global Select,Utilities,Utilities‚ Diversified
EXPD,USD,Nasdaq Global Select,Industrials,Integrated Freight & Logistics
EXPE,USD,Nasdaq Global Select,Consumer Cyclical,Travel Services
EXR,USD,New York Stock Exchange,Real Estate,REIT‚ Industrial
F,USD,New York Stock Exchange,Consumer Cyclical,Auto Manufacturers
FANG,USD,Nasdaq Global Select,Energy,Oil & Gas E&P
FAST,USD,Nasdaq Global Select,Industrials,Industrial Distribution
FB,USD,Nasdaq Global Select,Communication Services,Internet Content & Information
FBHS,USD,New York Stock Exchange,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FCX,USD,New York Stock Exchange,Basic Materials,Copper
FDX,USD,New York Stock Exchange,Industrials,Integrated Freight & Logistics
FE,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
FFIV,USD,Nasdaq Global Select,Technology,Software‚ Infrastructure
FIS,USD,New York Stock Exchange,Technology,Information Technology Services
FISV,USD,Nasdaq Global Select,Technology,Information Technology Services
FITB,USD,Nasdaq Global Select,Financial Services,Banks‚ Regional
FLT,USD,New York Stock Exchange,Technology,Information Technology Services
FMC,USD,New York Stock Exchange,Basic Materials,Agricultural Inputs
FOX,USD,Nasdaq Global Select,Communication Services,Broadcasting
FOXA,USD,Nasdaq Global Select,Communication Services,Broadcasting
FRC,USD,New York Stock Exchange,Financial Services,Banks‚ Regional
FRT,USD,New York Stock Exchange,Real Estate,REIT‚ Retail
FTNT,USD,Nasdaq Global Select,Technology,Software‚ Infrastructure
FTV,USD,New York Stock Exchange,Technology,Scientific & Technical Instruments
GD,USD,New York Stock Exchange,Industrials,Aerospace & Defense
GE,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
GILD,USD,Nasdaq Global Select,Healthcare,Drug Manufacturers‚ General
GIS,USD,New York Stock Exchange,Consumer Defensive,Packaged Foods
GL,USD,New York Stock Exchange,Financial Services,Insurance‚ Life
GLW,USD,New York Stock Exchange,Technology,Electronic Components
GM,USD,New York Stock Exchange,Consumer Cyclical,Auto Manufacturers
GNRC,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
GOOG,USD,Nasdaq Global Select,Communication Services,Internet Content & Information
GOOGL,USD,Nasdaq Global Select,Communication Services,Internet Content & Information
GPC,USD,New York Stock Exchange,Consumer Cyclical,Specialty Retail
GPN,USD,New York Stock Exchange,Industrials,Specialty Business Services
