date,operatingCashFlow,symbol,enterpriseValueMultiple,debtEquityRatio,operatingCashFlow_3y_percentile,enterpriseValueMultiple_3y_percentile,debtEquityRatio_3y_percentile,operatingCashFlow_ticker_decile,enterpriseValueMultiple_ticker_decile,debtEquityRatio_ticker_decile,sector,operatingCashFlow_sector_decile,enterpriseValueMultiple_sector_decile,debtEquityRatio_sector_decile,SP500,NQ,SP500_decile,NQ_decile,Total_Returns,operatingCashFlow_custom,enterpriseValueMultiple_custom,debtEquityRatio_custom,Total_Returns_custom,grades
2022-01-01,187326000.0,AAP,101.2675,2.898,3,1,1,6.0,2.0,3.0,Consumer Cyclical,6.0,2.0,3.0,True,False,8.0,,0.1201494279710482,3.0,5.0,4.0,4.0,5
2019-03-30,11155000000.0,AAPL,53.9417,2.2307,4,4,4,1.0,5.0,4.0,Technology,1.0,6.0,3.0,True,True,1.0,1.0,,5.0,3.0,4.0,,
2019-06-29,11636000000.0,AAPL,61.2672,2.3408,4,3,4,1.0,5.0,3.0,Technology,1.0,6.0,3.0,True,True,1.0,1.0,,5.0,3.0,4.0,,
2019-09-28,19910000000.0,AAPL,51.7937,2.741,3,4,4,1.0,6.0,3.0,Technology,1.0,7.0,2.0,True,True,1.0,1.0,0.1056992724333064,5.0,3.0,4.0,4.0,5
2019-12-28,30516000000.0,AAPL,45.6655,2.8045,1,4,3,1.0,6.0,3.0,Technology,1.0,7.0,2.0,True,True,1.0,1.0,0.3242551635898373,5.0,3.0,4.0,5.0,5
2020-03-28,13311000000.0,AAPL,68.9234,3.0854,4,2,3,1.0,4.0,3.0,Technology,1.0,5.0,2.0,True,True,1.0,1.0,-0.1450655624568668,5.0,4.0,4.0,1.0,4
2020-06-27,16271000000.0,AAPL,96.7319,3.3904,3,1,3,1.0,2.0,2.0,Technology,1.0,4.0,2.0,True,True,1.0,1.0,0.427349047465289,5.0,5.0,5.0,5.0,5
2020-09-26,20576000000.0,AAPL,109.0996,3.957,2,1,2,1.0,2.0,2.0,Technology,1.0,3.0,2.0,True,True,1.0,1.0,0.2699920823436263,5.0,5.0,5.0,5.0,5
2020-12-26,38763000000.0,AAPL,64.8238,4.3463,1,3,1,1.0,4.0,2.0,Technology,1.0,5.0,1.0,True,True,1.0,1.0,0.2174029212682579,5.0,4.0,5.0,5.0,5
2021-03-27,23981000000.0,AAPL,67.1538,3.8738,2,3,2,1.0,4.0,2.0,Technology,1.0,5.0,2.0,True,True,1.0,1.0,-0.1132489574950618,5.0,4.0,5.0,1.0,4
2021-06-26,21094000000.0,AAPL,82.5837,4.1313,2,2,2,1.0,3.0,2.0,Technology,1.0,4.0,2.0,True,True,1.0,1.0,0.0981767180925667,5.0,4.0,5.0,4.0,5
2021-09-25,20200000000.0,AAPL,93.3541,4.5635,3,1,1,1.0,3.0,2.0,Technology,1.0,4.0,1.0,True,True,1.0,1.0,0.1037487792051684,5.0,4.0,5.0,4.0,5
2021-12-25,46966000000.0,AAPL,68.1484,4.2993,1,2,1,1.0,4.0,2.0,Technology,1.0,5.0,1.0,True,True,1.0,1.0,,5.0,4.0,5.0,,
2022-03-26,28166000000.0,AAPL,88.0581,4.2028,1,1,1,1.0,3.0,2.0,Technology,1.0,4.0,2.0,True,True,1.0,1.0,,5.0,4.0,5.0,,
2019-03-31,3017000000.0,ABBV,44.164,-8.2539,4,3,4,1.0,6.0,10.0,Healthcare,1.0,5.0,10.0,True,False,1.0,,,5.0,3.0,1.0,,
2019-06-30,2477000000.0,ABBV,84.3434,-7.6708,4,1,3,1.0,3.0,10.0,Healthcare,1.0,3.0,10.0,True,False,2.0,,,5.0,4.0,1.0,,
2019-09-30,4555000000.0,ABBV,46.8255,-8.226,3,2,3,1.0,6.0,10.0,Healthcare,1.0,5.0,10.0,True,False,1.0,,0.0316076294277928,5.0,3.0,1.0,3.0,2
2019-12-31,3275000000.0,ABBV,38.0847,-11.9049,3,4,4,1.0,7.0,10.0,Healthcare,1.0,6.0,10.0,True,False,1.0,,0.1693079767564713,5.0,2.0,1.0,4.0,2
2020-03-31,3815000000.0,ABBV,32.799,-13.2993,3,4,4,1.0,8.0,10.0,Healthcare,1.0,6.0,10.0,True,False,1.0,,-0.1394849785407726,5.0,2.0,1.0,1.0,1
2020-06-30,3089000000.0,ABBV,170.3226,9.1649,4,1,2,1.0,1.0,1.0,Healthcare,1.0,1.0,1.0,True,False,1.0,,0.2886205538784618,5.0,5.0,5.0,5.0,5
2020-09-30,5830000000.0,ABBV,43.1588,8.7971,1,3,2,1.0,7.0,1.0,Healthcare,1.0,5.0,1.0,True,False,1.0,,-0.1078631085760847,5.0,2.0,5.0,1.0,3
2020-12-31,4854000000.0,ABBV,225.0979,10.513,2,1,1,1.0,1.0,1.0,Healthcare,1.0,1.0,1.0,True,False,1.0,,0.223313163603151,5.0,5.0,5.0,5.0,5
2021-03-31,4877000000.0,ABBV,39.7579,9.9758,2,4,1,1.0,7.0,1.0,Healthcare,1.0,6.0,1.0,True,False,1.0,,0.009986000933271,5.0,2.0,5.0,3.0,4
2021-06-30,4890000000.0,ABBV,68.5861,10.7708,2,1,1,1.0,4.0,1.0,Healthcare,1.0,4.0,1.0,True,False,1.0,,0.040842727776751,5.0,4.0,5.0,3.0,5
2021-09-30,7935000000.0,ABBV,40.4419,9.9838,1,3,1,1.0,7.0,1.0,Healthcare,1.0,6.0,1.0,True,False,1.0,,-0.0423473011363636,5.0,2.0,5.0,2.0,4
2021-12-31,5075000000.0,ABBV,44.8632,8.5081,1,2,2,1.0,6.0,1.0,Healthcare,1.0,5.0,1.0,True,False,1.0,,0.255214610178919,5.0,3.0,5.0,5.0,5
2022-03-31,4908000000.0,ABBV,47.0046,7.7932,1,2,3,1.0,6.0,1.0,Healthcare,1.0,5.0,1.0,True,False,1.0,,0.1972673559822748,5.0,3.0,5.0,5.0,5
2019-03-31,624364000.0,ABC,88.5819,12.2456,3,1,2,3.0,3.0,1.0,Healthcare,3.0,3.0,1.0,True,False,4.0,,,4.0,4.0,5.0,,
2019-06-30,567869000.0,ABC,35.9605,11.8322,3,3,3,3.0,7.0,1.0,Healthcare,3.0,6.0,1.0,True,False,5.0,,,4.0,2.0,5.0,,
2019-09-30,672822000.0,ABC,58.5681,12.5668,2,1,2,3.0,5.0,1.0,Healthcare,3.0,5.0,1.0,True,False,4.0,,-0.0380885617478678,4.0,3.0,5.0,2.0,4
2019-12-31,142810000.0,ABC,48.3503,12.505,4,1,2,6.0,6.0,1.0,Healthcare,5.0,5.0,1.0,True,False,8.0,,0.0326733875865419,3.0,3.0,5.0,3.0,4
2020-03-31,852897000.0,ABC,45.6386,10.6771,2,1,3,3.0,6.0,1.0,Healthcare,3.0,5.0,1.0,True,False,3.0,,0.0409315455187015,4.0,3.0,5.0,3.0,4
2020-06-30,-87899000.0,ABC,43.8919,9.5461,4,2,3,10.0,6.0,1.0,Healthcare,10.0,5.0,1.0,True,False,10.0,,0.1386440677966101,1.0,3.0,5.0,4.0,3
2020-09-30,1299232000.0,ABC,-3.2116,-44.2766,1,4,4,2.0,9.0,10.0,Healthcare,2.0,7.0,10.0,True,False,3.0,,-0.0382058152227845,5.0,1.0,1.0,2.0,1
2020-12-31,903053000.0,ABC,28.3897,-66.49,1,4,4,2.0,8.0,10.0,Healthcare,2.0,7.0,10.0,True,False,3.0,,0.0086669418076764,5.0,2.0,1.0,3.0,2
2021-03-31,-453903000.0,ABC,33.5352,-167.1873,4,4,4,10.0,7.0,10.0,Healthcare,10.0,6.0,10.0,True,False,10.0,,0.2077536824877249,1.0,2.0,1.0,5.0,1
2021-06-30,1207619000.0,ABC,37.3206,1462.5809,1,3,1,2.0,7.0,1.0,Healthcare,2.0,6.0,1.0,True,False,3.0,,-0.0303209960193105,5.0,2.0,5.0,2.0,4
2021-09-30,1009817000.0,ABC,36.7061,254.0962,1,3,1,2.0,7.0,1.0,Healthcare,2.0,6.0,1.0,True,False,3.0,,0.0433225609223513,5.0,2.0,5.0,3.0,4
2021-12-31,863411000.0,ABC,37.4907,235.8824,2,2,1,2.0,7.0,1.0,Healthcare,2.0,6.0,1.0,True,False,3.0,,0.112515696944328,5.0,2.0,5.0,4.0,5
2022-03-31,266585000.0,ABC,37.52,102.4917,3,2,1,5.0,7.0,1.0,Healthcare,4.0,6.0,1.0,True,False,7.0,,0.1641959515388669,3.0,2.0,5.0,4.0,4
2019-03-31,70391000.0,ABMD,120.7572,0.1254,3,3,2,7.0,2.0,10.0,Healthcare,6.0,2.0,10.0,True,False,9.0,,,2.0,5.0,1.0,,
2019-06-30,64628000.0,ABMD,110.5256,0.1222,3,4,3,7.0,2.0,10.0,Healthcare,6.0,2.0,10.0,True,False,9.0,,,2.0,5.0,1.0,,
2019-09-30,74259000.0,ABMD,358.8804,0.134,3,1,1,7.0,1.0,10.0,Healthcare,6.0,1.0,9.0,True,False,9.0,,-0.3287676401780998,2.0,5.0,1.0,1.0,1
