ticker,ARKG,ARKK,ARKQ,ARKW,ARKX,BUG,DJIA 30,FW-bloom,FW-clean_energy,FW-concrete,FW-cyclicals,FW-earthy,FW-exosphere,FW-techtonic,FW-yosemite,NASDAQ 100,S&P 500,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,total,company,sector,industry,ref_etf
NOV,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,NOV,Energy,Oil & Gas Equipment & Services,XLE
A,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Agilent Technologies,Healthcare,Diagnostics & Research,XLV
AA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,Alcoa,Basic Materials,Aluminum,XLB
AAL,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,American Airlines Group,Industrials,Airlines,XLI
AAON,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,AAON,Industrials,Building Products & Equipment,XLI
AAP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Advance Auto Parts,Consumer Cyclical,Specialty Retail,XLY
AAPL,,,,,,,1,,,,,,,,,1,1,,,,,,1,,,,,,4,Apple,Technology,Consumer Electronics,XLK
ABBV,1,,,,,,,1,,,,,,,1,,1,,,,,,,,,,1,,5,AbbVie,Healthcare,Drug Manufacturers‚ General,XLV
ABC,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,AmerisourceBergen,Healthcare,Medical Distribution,XLV
ABMD,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,Abiomed,Healthcare,Medical Devices,XLV
ABT,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,1,,4,Abbott Laboratories,Healthcare,Medical Devices,XLV
ACAD,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,ACADIA Pharmaceuticals,Healthcare,Biotechnology,XLV
ACCD,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Accolade,Healthcare,Health Information Services,XLV
ACIC,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,Atlas Crest Investment,Financial Services,Shell Companies,XLF
ACIW,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,ACI Worldwide,Technology,Software‚ Infrastructure,XLK
ACLS,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Axcelis Technologies,Technology,Semiconductor Equipment & Materials,XLK
ACN,,,,,,,,,,,,,,1,1,,1,,,,,,1,,,,,,4,Accenture,Technology,Information Technology Services,XLK
ADBE,,,,,,,,,,,,,1,1,,1,1,,,,,,1,,,,,,5,Adobe,Technology,Software‚ Infrastructure,XLK
ADI,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,3,Analog Devices,Technology,Semiconductors,XLK
ADM,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,Archer-Daniels Midland,Consumer Defensive,Farm Products,XLP
ADP,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,4,Automatic Data Processing,Industrials,Staffing & Employment Services,XLI
ADPT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Adaptive Biotechnologies,Healthcare,Biotechnology,XLV
ADSK,,,1,,1,,,,,,,,1,1,,1,1,,,,,,1,,,,,,7,Autodesk,Technology,Software‚ Application,XLK
ADTN,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Adtran,Technology,Communication Equipment,XLK
ADYYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Adyen,#N/A,#N/A,#N/A
AEE,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,Ameren,Utilities,Utilities‚ Regulated Electric,XLU
AEIS,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,Advanced Energy Indus,Industrials,Electrical Equipment & Parts,XLI
AEP,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,,,4,American Electric Power,Utilities,Utilities‚ Regulated Electric,XLU
AFGYF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,AFC Energy,#N/A,#N/A,#N/A
AGPPF,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,Anglo American Platinum,#N/A,#N/A,#N/A
AGYS,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Agilysys,Technology,Software‚ Application,XLK
AI,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,C3.ai,Technology,Information Technology Services,XLK
AI.PA,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,AIR LIQUIDE,Basic Materials,Chemicals,XLB
AIG,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,American Intl Gr,Financial Services,Insurance‚ Diversified,XLF
AIMC,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Altra Industrial Motion,Industrials,Specialty Industrial Machinery,XLI
AIN,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Albany Intl,Consumer Cyclical,Textile Manufacturing,XLY
AIR,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,AAR,Industrials,Aerospace & Defense,XLI
AIZ,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Assurant,Financial Services,Insurance‚ Specialty,XLF
AJG,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Arthur J. Gallagher,Financial Services,Insurance Brokers,XLF
AKAM,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,,,4,Akamai Technologies,Technology,Software‚ Infrastructure,XLK
ALB,,,,,,,,,1,,,1,,,,,1,1,,,,,,,,,,,4,Albemarle,Basic Materials,Specialty Chemicals,XLB
ALG,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,Alamo Group,Industrials,Farm & Heavy Construction Machinery,XLI
ALGN,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,3,Align Tech,Healthcare,Medical Devices,XLV
ALK,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Alaska Air Gr,Industrials,Airlines,XLI
ALL,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Allstate,Financial Services,Insurance‚ Property & Casualty,XLF
ALLE,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,Allegion,Industrials,Security & Protection Services,XLI
ALRM,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Alarm.com Holdings,Technology,Software‚ Application,XLK
ALXN,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,3,Alexion Pharmaceuticals,Healthcare,Biotechnology,XLV
AMAT,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,4,Applied Materials,Technology,Semiconductor Equipment & Materials,XLK
AMCR,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,Amcor,Consumer Cyclical,Packaging & Containers,XLY
AMD,,,,,,,,,,,,,1,,,1,1,,,,,,1,,,,,,4,Advanced Micro Devices,Technology,Semiconductors,XLK
AME,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,3,AMETEK,Industrials,Specialty Industrial Machinery,XLI
AMGN,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,1,,4,Amgen,Healthcare,Drug Manufacturers‚ General,XLV
AMP,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Ameriprise Financial,Financial Services,Asset Management,XLF
AMT,,,,,,,,1,,1,,,,,1,,1,,,,,,,,1,,,,5,American Tower,Real Estate,REIT‚ Specialty,XLRE
AMZN,,,,,1,,,,,,,,1,1,,1,1,,,,,,,,,,,1,7,Amazon.com,Consumer Cyclical,Internet Retail,XLY
ANET,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,Arista Networks,Technology,Computer Hardware,XLK
ANSS,,,1,,1,,,,,,,,,1,,1,1,,,,,,1,,,,,,6,Ansys,Technology,Software‚ Application,XLK
ANTM,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,3,Anthem,Healthcare,Healthcare Plans,XLV
AON,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,Aon,Financial Services,Insurance Brokers,XLF
AONE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,One,Financial Services,Shell Companies,XLF
AOS,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,3,A.O. Smith,Industrials,Specialty Industrial Machinery,XLI
AOSL,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Alpha & Omega,Technology,Semiconductors,XLK
APA,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,APA,Basic Materials,Oil & Gas E&P,XLB
APD,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,3,Air Products & Chemicals,Basic Materials,Chemicals,XLB
APH,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,3,Amphenol,Technology,Electronic Components,XLK
API,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,Agora,Technology,Software‚ Application,XLK
APPF,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,AppFolio,Technology,Software‚ Application,XLK
APPS,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Digital Turbine,Technology,Software‚ Application,XLK
APT,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Alpha Pro Tech,Industrials,Building Products & Equipment,XLI
APTV,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,Aptiv,Consumer Cyclical,Auto Parts,XLY
AQB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AquaBounty Technologies,Consumer Defensive,Farm Products,XLP
ARCT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arcturus Therapeutics,Healthcare,Biotechnology,XLV
ARE,,,,,,,,,,1,1,,,,1,,1,,,,,,,,1,,,,5,Alexandria Real Estate,Real Estate,REIT‚ Office,XLRE
ARRY,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,Array Technologies,Technology,Solar,XLK
ATEN,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,A10 Networks,#N/A,#N/A,#N/A
ATO,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,3,Atmos Energy,Utilities,Utilities‚ Regulated Gas,XLU
ATSG,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,Air Transport Services Gr,Industrials,Integrated Freight & Logistics,XLI
